id,name,description,supplier_cuit,default_price
1,Pen,NA,4001,1.55
2,Magic Keyboard,,5001,92.2
3,Foam Matress,This soft matress will make you sleep,6001,600.5
4,Electric Guitar,,7001,400.99
5,Aluminum Bottle,1lt bottle. amazing for travels,4001,35.99
6,Guitar strings,designed for maximum durability...,7001,15.2
7,Fender Bass,,7001,780.6
8,Lamp,10ft usb lamp,4001,88.11
9,Cocktail kit,brushed aluminum crafted,4001,35.99
10,Starred night paint,,8001,185.47
11,Magic Mouse,,5001,80.3
12,Handmade Wood Spoon,,8001,65.44
13,Mahogany Wardrobe,Antique. Perfect for every room,6001,855.31
